Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xafbc62cf
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16715 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36400.000000

Root relaxation: objective 1.314540e+04, 4250 iterations, 0.20 seconds (0.23 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 28628 10468 16452.0069   50   72 16877.8000 16329.2750  3.25%  57.2  305s
 29169 10747 16350.2556   48   73 16877.8000 16330.8528  3.24%  57.4  310s
 29737 11049 16580.1441   56   69 16877.8000 16332.7583  3.23%  57.5  315s
 30300 11351 16388.6422   51   75 16877.8000 16334.7651  3.22%  57.6  320s
 30860 11628 16384.9065   50   81 16877.8000 16336.2919  3.21%  57.7  325s
 31407 11933 16640.7919   58   65 16877.8000 16337.3312  3.20%  57.9  330s
 31939 12218 16439.6284   52   66 16877.8000 16339.4433  3.19%  58.0  335s
 32486 12479     cutoff   57      16877.8000 16340.8409  3.18%  58.2  340s
 33007 12749 16578.5721   55   73 16877.8000 16341.7189  3.18%  58.3  345s
 33575 13014 16570.5427   52   66 16877.8000 16343.0905  3.17%  58.4  350s
 34155 13308 16524.7545   56   71 16877.8000 16344.2442  3.16%  58.4  355s
 34696 13571 16657.8063   57   72 16877.8000 16345.5198  3.15%  58.6  360s
 35165 13805 16458.5583   49   78 16877.8000 16346.6718  3.15%  58.7  365s
 35666 14055 16788.1989   70   46 16877.8000 16347.7667  3.14%  58.8  370s
 36123 14283 16514.9010   52   78 16877.8000 16348.7153  3.13%  59.0  375s
 36619 14542 16793.1947   64   56 16877.8000 16349.9387  3.13%  59.2  380s
 37145 14790 16875.3470   65   54 16877.8000 16350.7538  3.12%  59.2  385s
 37697 15061 16428.4936   48   84 16877.8000 16351.8987  3.12%  59.3  390s
 38184 15296 16458.9323   49   78 16877.8000 16352.9963  3.11%  59.4  395s
 38729 15563 16389.8167   47   83 16877.8000 16354.2405  3.10%  59.4  400s
 39270 15829 16459.3883   50   79 16877.8000 16355.5956  3.09%  59.5  405s
 39814 16116 16860.0440   65   42 16877.8000 16356.4451  3.09%  59.5  410s
 40345 16366 16595.7292   53   75 16877.8000 16357.7820  3.08%  59.6  415s
 40878 16660 16472.9253   52   81 16877.8000 16358.7050  3.08%  59.7  420s
 41388 16922 16783.7843   62   56 16877.8000 16359.3677  3.07%  59.8  425s
 41893 17182 16444.1510   50   83 16877.8000 16360.1607  3.07%  59.8  437s
 42176 17348 16869.4772   62   56 16877.8000 16360.6397  3.06%  59.8  440s
 42738 17616 16674.9555   60   70 16877.8000 16361.5090  3.06%  59.9  445s
 43228 17834 16866.6869   63   57 16877.8000 16362.7153  3.05%  59.9  450s
 43740 18057     cutoff   67      16877.8000 16363.3633  3.05%  60.0  455s
 44265 18305 16550.4396   55   69 16877.8000 16364.6927  3.04%  60.0  460s
 44801 18567 16758.5727   60   58 16877.8000 16365.2900  3.04%  60.1  465s
 45309 18793 16522.1747   51   75 16877.8000 16366.1684  3.03%  60.2  470s
 45862 19068 16395.6524   49   76 16877.8000 16367.0694  3.03%  60.2  475s
 46389 19345 16851.0612   63   56 16877.8000 16367.9743  3.02%  60.3  480s
 46952 19614 16536.0921   53   69 16877.8000 16369.0011  3.01%  60.3  485s
 47474 19867 16824.0650   63   56 16877.8000 16369.8715  3.01%  60.3  490s
 47953 20086 16545.1403   53   74 16877.8000 16370.7696  3.00%  60.4  495s
 48481 20340 16649.9014   54   74 16877.8000 16371.5973  3.00%  60.4  500s
 49042 20631 16453.0866   51   80 16877.8000 16372.6305  2.99%  60.4  505s
 49564 20903 16795.3776   57   61 16877.8000 16373.1274  2.99%  60.5  510s
 50120 21170 16736.7728   56   69 16877.8000 16374.1322  2.98%  60.5  515s
 50660 21422 16467.1035   53   73 16877.8000 16374.9870  2.98%  60.5  520s
 51206 21687     cutoff   70      16877.8000 16375.7853  2.97%  60.6  525s
 51690 21922 16511.7584   59   59 16877.8000 16376.6379  2.97%  60.6  530s
 52261 22195 16478.8131   51   75 16877.8000 16377.3874  2.96%  60.6  535s
 52814 22493 16766.1490   56   74 16877.8000 16378.2166  2.96%  60.6  540s
 53313 22709 16740.9808   56   68 16877.8000 16378.8308  2.96%  60.7  545s
 53847 22970 16818.2838   62   68 16877.8000 16379.4311  2.95%  60.7  550s
 54387 23205 16530.4050   55   70 16877.8000 16380.0719  2.95%  60.8  555s
 54915 23484 16840.5174   63   59 16877.8000 16381.0137  2.94%  60.8  560s
 55454 23751 16819.3317   68   50 16877.8000 16381.8078  2.94%  60.8  565s
 56038 24063     cutoff   70      16877.8000 16382.5090  2.93%  60.8  570s
