Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0x6dce863f
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e-01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 130004.00000

Root relaxation: objective 2.978491e+04, 5520 iterations, 0.34 seconds (0.41 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 89566 19526 43376.3160   48   55 43407.4000 43046.5750  0.83%  55.0  875s
 90201 19628 43398.0125   51   33 43407.4000 43047.3824  0.83%  55.0  880s
 90866 19711 43403.1628   60   24 43407.4000 43048.7962  0.83%  54.9  885s
 91526 19788 43086.3248   47   49 43407.4000 43050.2479  0.82%  54.8  890s
 92257 19895 43291.7288   53   42 43407.4000 43051.3790  0.82%  54.7  895s
 93019 20021 43290.0660   41   61 43407.4000 43052.8045  0.82%  54.6  900s
 93575 20116 43314.3029   51   38 43407.4000 43054.1505  0.81%  54.5  905s
 94186 20208 43223.0051   55   38 43407.4000 43054.9462  0.81%  54.5  910s
 94906 20303 43298.4663   52   30 43407.4000 43056.3375  0.81%  54.4  915s
 95572 20394 43242.1746   47   48 43407.4000 43057.5746  0.81%  54.4  920s
 96254 20471 43154.4315   55   27 43407.4000 43058.8405  0.80%  54.3  925s
 96895 20527 43308.1696   51   51 43407.4000 43060.2596  0.80%  54.3  930s
 97649 20629 43235.0288   47   54 43407.4000 43061.6543  0.80%  54.2  935s
 98329 20737 43205.3347   48   49 43407.4000 43062.8377  0.79%  54.1  940s
 98899 20801 43197.7032   47   43 43407.4000 43063.6307  0.79%  54.0  945s
 99667 20900 43294.2194   48   53 43407.4000 43065.3007  0.79%  53.9  950s
 100378 20986 43379.7162   59   25 43407.4000 43066.7864  0.78%  53.8  955s
 101109 21059 43071.4177   47   52 43407.4000 43068.0932  0.78%  53.8  960s
 101777 21132 43317.2448   50   45 43407.4000 43069.3549  0.78%  53.7  965s
 102566 21239     cutoff   55      43407.4000 43070.4453  0.78%  53.6  970s
 103180 21326 43260.4897   54   31 43407.4000 43071.4850  0.77%  53.6  975s
 103930 21453 43289.0458   51   51 43407.4000 43072.4956  0.77%  53.4  980s
 104629 21529 43227.9586   53   25 43407.4000 43073.5156  0.77%  53.4  985s
 105335 21602 43401.5867   57   42 43407.4000 43074.9045  0.77%  53.3  990s
 106059 21683 43362.8001   50   47 43407.4000 43076.2980  0.76%  53.2  995s
 106725 21746 43167.7365   46   44 43407.4000 43077.4803  0.76%  53.2 1000s
 107438 21835 43302.6686   54   43 43407.4000 43078.4964  0.76%  53.1 1005s
 108205 21918 43359.3005   52   44 43407.4000 43079.7788  0.75%  53.0 1010s
 108583 21939 43122.3104   43   54 43407.4000 43080.3228  0.75%  53.0 1015s
 109225 21998 43315.2209   46   46 43407.4000 43081.5404  0.75%  53.0 1020s
 109873 22077     cutoff   51      43407.4000 43082.6285  0.75%  52.9 1025s
 110575 22186 43403.6594   60   18 43407.4000 43083.7994  0.75%  52.9 1030s
 111279 22278     cutoff   53      43407.4000 43085.1247  0.74%  52.8 1035s
 111924 22357 43145.4088   41   61 43407.4000 43085.9500  0.74%  52.8 1040s
 112623 22450 43402.0791   55   23 43407.4000 43086.8589  0.74%  52.7 1045s
 113345 22529 43401.8564   51   46 43407.4000 43087.9595  0.74%  52.7 1050s
 114088 22593 43154.6803   51   38 43407.4000 43089.0448  0.73%  52.6 1055s
 114659 22648 43352.8300   46   52 43407.4000 43090.1324  0.73%  52.6 1060s
 115351 22699 43257.6969   51   27 43407.4000 43091.1864  0.73%  52.6 1065s
 116079 22772 43333.8286   52   27 43407.4000 43092.4564  0.73%  52.5 1070s
 116876 22860 43345.1643   60   13 43407.4000 43093.6083  0.72%  52.4 1075s
 116997 22874 43342.1072   43   53 43407.4000 43093.8065  0.72%  52.4 1080s
 117537 22945 43357.4725   49   44 43407.4000 43094.6396  0.72%  52.3 1085s
 118182 23004 43287.4427   56   33 43407.4000 43095.6704  0.72%  52.3 1090s
 118891 23092 43295.4690   54   30 43407.4000 43096.8058  0.72%  52.3 1095s
 119632 23185 43260.1506   57   30 43407.4000 43097.5561  0.71%  52.2 1100s
 120376 23267 43194.8742   54   46 43407.4000 43098.7737  0.71%  52.1 1105s
 121095 23344 43191.7848   42   51 43407.4000 43100.0186  0.71%  52.1 1110s
 121748 23405 43308.6280   46   60 43407.4000 43100.6924  0.71%  52.1 1115s
 122454 23490 43399.7954   53   35 43407.4000 43101.5067  0.70%  52.0 1120s
 123209 23563 43329.7845   47   40 43407.4000 43102.5275  0.70%  51.9 1125s
