Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0x81ce3956
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16718 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 20800.000000

Root relaxation: objective 1.005106e+04, 3316 iterations, 0.10 seconds (0.10 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 17662  6939 11374.5811   51   66 11473.6000 11259.6448  1.86%  36.7  160s
 18565  7090 11363.6275   48   78 11473.6000 11262.7610  1.84%  36.9  165s
 19403  7227 11406.5481   48   72 11473.6000 11265.5091  1.81%  37.1  170s
 20260  7326 11319.2049   43   76 11473.6000 11269.1885  1.78%  37.3  175s
 20798  7403 11294.3135   42   85 11473.6000 11270.7017  1.77%  37.3  180s
 21705  7540 11322.8348   46   72 11473.6000 11273.4474  1.74%  37.5  185s
 22592  7661 11469.9285   53   44 11473.6000 11276.3381  1.72%  37.6  190s
 23304  7745 11303.2229   42   79 11473.6000 11278.1476  1.70%  37.8  195s
 24214  7874 11347.5764   44   73 11473.6000 11280.5923  1.68%  37.9  200s
 25053  7972 11360.6242   49   72 11473.6000 11282.3827  1.67%  37.9  205s
 25933  8081 11398.7568   52   55 11473.6000 11284.3056  1.65%  38.1  210s
 26787  8277 11352.4003   48   67 11473.6000 11285.5327  1.64%  38.2  215s
 27627  8633 11449.6280   61   23 11473.6000 11287.3587  1.62%  38.3  220s
 28530  9033 11331.3535   45   81 11473.6000 11288.9950  1.61%  38.4  225s
 29434  9429 11437.4947   47   66 11473.6000 11290.4917  1.60%  38.4  230s
 30277  9753 11463.5823   51   67 11473.6000 11291.7695  1.58%  38.6  235s
 31112 10076 11445.1615   50   60 11473.6000 11293.1122  1.57%  38.7  240s
 31942 10414 11392.6705   52   59 11473.6000 11294.4632  1.56%  38.8  245s
 32784 10754 11455.2939   51   58 11473.6000 11295.5667  1.55%  38.9  250s
 33701 11122 11353.7908   46   66 11473.6000 11297.1520  1.54%  38.9  255s
 34414 11439 11393.1180   58   55 11473.6000 11298.1942  1.53%  39.0  262s
 34915 11656 11459.6199   54   63 11473.6000 11298.9070  1.52%  39.0  265s
 35702 12007 11314.5096   46   74 11473.6000 11299.8530  1.51%  39.0  273s
 36049 12145 11315.0052   43   90 11473.6000 11300.3824  1.51%  39.0  275s
 36952 12494 11390.9992   53   62 11473.6000 11301.6632  1.50%  39.0  280s
 37831 12838 11339.3897   47   68 11473.6000 11302.8393  1.49%  39.0  285s
 38698 13166 11375.8602   44   75 11473.6000 11303.7633  1.48%  39.1  290s
H39139 13285                    11470.800000 11304.2835  1.45%  39.1  293s
 39340 13378 11445.6103   53   65 11470.8000 11304.5117  1.45%  39.1  295s
 40251 13696 11387.1148   49   78 11470.8000 11305.5448  1.44%  39.0  300s
 41129 14043 11360.0991   50   51 11470.8000 11306.3943  1.43%  39.1  305s
 41974 14368 11365.3840   46   71 11470.8000 11307.2451  1.43%  39.1  310s
 42875 14728 11351.1584   47   59 11470.8000 11308.4027  1.42%  39.1  315s
