Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xf0f13c2f
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36423.000000

Root relaxation: objective 1.331465e+04, 3767 iterations, 0.17 seconds (0.18 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 88225 38710 17316.6543   59   32 17566.6000 17144.0139  2.41%  51.1  780s
 88844 38977 17327.8083   49   71 17566.6000 17144.4279  2.40%  51.1  785s
 89491 39271 17204.4507   47   67 17566.6000 17144.9946  2.40%  51.1  790s
 90104 39544 17217.1683   46   60 17566.6000 17145.7224  2.40%  51.1  795s
 90724 39845 17251.2348   50   53 17566.6000 17146.2371  2.39%  51.1  800s
 91260 40072 17462.4129   50   65 17566.6000 17146.7516  2.39%  51.1  805s
 91897 40371 17513.9071   58   48 17566.6000 17147.3641  2.39%  51.1  810s
 92511 40617     cutoff   56      17566.6000 17147.8315  2.38%  51.1  815s
 93167 40918 17521.4558   60   51 17566.6000 17148.4182  2.38%  51.1  820s
 93721 41153 17507.3843   53   45 17566.6000 17148.9496  2.38%  51.1  825s
 94332 41430 17532.9526   59   47 17566.6000 17149.4285  2.37%  51.1  830s
 94854 41661 17540.8189   49   64 17566.6000 17149.8162  2.37%  51.1  835s
 95482 41921 17565.7001   51   59 17566.6000 17150.2700  2.37%  51.1  840s
 96064 42152 17248.8005   49   62 17566.6000 17150.8532  2.37%  51.1  845s
 96650 42445 17220.2250   50   55 17566.6000 17151.2330  2.36%  51.1  850s
 97261 42698 17193.0252   47   65 17566.6000 17151.7583  2.36%  51.1  855s
*97553 41304              73    17532.000000 17151.9464  2.17%  51.1  857s
 97720 41398 17496.9928   65   32 17532.0000 17152.1048  2.17%  51.1  860s
 98243 41635 17256.2918   53   68 17532.0000 17152.6822  2.16%  51.1  865s
 98831 41897 17484.3955   52   64 17532.0000 17153.2059  2.16%  51.1  870s
 99429 42163 17449.7220   57   34 17532.0000 17153.6120  2.16%  51.1  875s
 100025 42417 17462.8305   69   22 17532.0000 17154.0112  2.16%  51.1  880s
 100681 42706 17430.3030   54   62 17532.0000 17154.6496  2.15%  51.1  885s
 101234 42935 17412.2966   53   48 17532.0000 17155.1049  2.15%  51.1  890s
 101836 43200 17425.1233   47   50 17532.0000 17155.6755  2.15%  51.1  895s
 102428 43438     cutoff   46      17532.0000 17156.0987  2.14%  51.1  900s
 103036 43681 17463.2896   63   40 17532.0000 17156.5685  2.14%  51.1  905s
 103621 43973 17516.1634   69   35 17532.0000 17156.9273  2.14%  51.1  910s
 103887 44079 17458.3841   48   59 17532.0000 17157.2477  2.14%  51.1  916s
 104322 44252     cutoff   48      17532.0000 17157.6339  2.14%  51.1  920s
 104889 44469     cutoff   55      17532.0000 17158.1282  2.13%  51.1  925s
 105487 44733 17433.6187   49   61 17532.0000 17158.5560  2.13%  51.1  930s
 106109 44998 17275.5809   49   72 17532.0000 17159.0900  2.13%  51.1  935s
 106682 45260 17335.2048   58   39 17532.0000 17159.6118  2.12%  51.1  940s
 107271 45476 17513.2650   52   63 17532.0000 17160.0695  2.12%  51.1  945s
 107874 45716 17473.1978   62   51 17532.0000 17160.4831  2.12%  51.1  950s
 108450 45985 17396.4498   48   55 17532.0000 17160.7768  2.12%  51.2  955s
 109107 46237 17424.1195   52   66 17532.0000 17161.5134  2.11%  51.2  960s
 109702 46486 17340.9675   56   58 17532.0000 17161.9558  2.11%  51.2  965s
 110194 46649     cutoff   64      17532.0000 17162.3810  2.11%  51.2  970s
 110737 46857 17526.5507   50   41 17532.0000 17162.9063  2.11%  51.2  975s
 111364 47129 17504.0535   58   44 17532.0000 17163.3475  2.10%  51.2  980s
 111987 47355     cutoff   64      17532.0000 17163.7833  2.10%  51.2  985s
 112545 47597 17277.6244   43   75 17532.0000 17164.0370  2.10%  51.2  990s
 113144 47857 17317.1812   55   46 17532.0000 17164.7061  2.09%  51.2  995s
 113790 48122 17334.9660   47   75 17532.0000 17165.1070  2.09%  51.2 1000s
 114397 48382 17481.6217   59   20 17532.0000 17165.4719  2.09%  51.2 1005s
 115031 48645 17501.6607   52   68 17532.0000 17165.8548  2.09%  51.1 1010s
 115674 48888 17434.7910   50   64 17532.0000 17166.2727  2.09%  51.1 1015s
 116257 49125 17378.6795   64   35 17532.0000 17166.8832  2.08%  51.2 1020s
 116909 49397 17497.2033   54   56 17532.0000 17167.3609  2.08%  51.1 1025s
 117473 49607 17398.1020   48   71 17532.0000 17167.7777  2.08%  51.2 1030s
 118097 49859 17519.4213   51   56 17532.0000 17168.3204  2.07%  51.2 1035s
 118714 50086     cutoff   59      17532.0000 17168.9058  2.07%  51.2 1040s
 119342 50369 17482.8812   60   32 17532.0000 17169.3862  2.07%  51.2 1045s
 119967 50629 17466.1888   52   34 17532.0000 17169.8163  2.07%  51.2 1050s
 120642 50880     cutoff   68      17532.0000 17170.1772  2.06%  51.1 1055s
 121262 51122 17442.2162   54   54 17532.0000 17170.6144  2.06%  51.1 1060s
 121848 51331 17461.1917   59   43 17532.0000 17171.0706  2.06%  51.1 1065s
 122361 51519 17442.4807   46   64 17532.0000 17171.4622  2.06%  51.2 1070s
 122981 51779 17251.2183   49   62 17532.0000 17171.9838  2.05%  51.1 1075s
 123582 52030 17183.4473   52   64 17532.0000 17172.3499  2.05%  51.1 1080s
