Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xbce764ef
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [5e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36427.000000

Root relaxation: objective 1.347927e+04, 3562 iterations, 0.17 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 79679  8549 16579.0929   44   60 16585.0000 16501.2632  0.50%  59.1  690s
 80322  8489     cutoff   48      16585.0000 16501.8317  0.50%  59.2  695s
 80616  8471     cutoff   50      16585.0000 16502.0900  0.50%  59.2  700s
 81329  8418 16553.7217   46   61 16585.0000 16502.8873  0.50%  59.2  705s
 81915  8373 16541.5388   45   65 16585.0000 16503.5213  0.49%  59.2  710s
 82601  8314 16523.3089   47   55 16585.0000 16504.3958  0.49%  59.2  715s
 83294  8254 16580.0462   44   65 16585.0000 16505.0875  0.48%  59.2  720s
 84008  8189 16547.5018   44   72 16585.0000 16505.9090  0.48%  59.1  725s
 84703  8120 16571.4723   48   49 16585.0000 16506.7205  0.47%  59.1  730s
 85383  8071     cutoff   48      16585.0000 16507.2956  0.47%  59.1  735s
 86055  8008 16522.1848   47   55 16585.0000 16507.9544  0.46%  59.1  740s
 86665  7938 16583.4549   45   65 16585.0000 16508.4609  0.46%  59.1  745s
 87356  7859     cutoff   47      16585.0000 16509.2241  0.46%  59.1  750s
 88014  7787 16552.8000   47   56 16585.0000 16509.9087  0.45%  59.1  755s
 88692  7722 16575.5546   48   55 16585.0000 16510.6366  0.45%  59.1  760s
 89406  7617 16543.2268   46   66 16585.0000 16511.3830  0.44%  59.1  765s
 90093  7540 16533.9688   43   68 16585.0000 16512.1302  0.44%  59.1  770s
 90799  7446 16564.4811   46   69 16585.0000 16512.9848  0.43%  59.1  775s
 91441  7366 16572.9562   47   70 16585.0000 16513.5497  0.43%  59.1  780s
 92093  7259 16517.9213   48   59 16585.0000 16514.3974  0.43%  59.1  785s
 92806  7171 16562.3144   44   57 16585.0000 16515.1770  0.42%  59.1  790s
 93394  7085 16559.3871   48   55 16585.0000 16515.8614  0.42%  59.1  799s
 93408  7085 16575.2206   45   68 16585.0000 16515.8838  0.42%  59.1  800s
 94110  6969 16581.6735   46   53 16585.0000 16516.6731  0.41%  59.1  805s
 94722  6890 16544.2132   48   62 16585.0000 16517.2385  0.41%  59.1  810s
 95477  6765 16523.8243   45   66 16585.0000 16518.0294  0.40%  59.1  815s
 96187  6643 16542.6149   43   70 16585.0000 16518.8288  0.40%  59.1  820s
 96859  6515     cutoff   51      16585.0000 16519.6273  0.39%  59.1  825s
 97600  6384 16540.7780   42   68 16585.0000 16520.5752  0.39%  59.1  830s
 98315  6270     cutoff   44      16585.0000 16521.4784  0.38%  59.1  835s
 98837  6169 16567.4138   45   54 16585.0000 16522.1738  0.38%  59.1  843s
 99035  6139 16582.0220   44   67 16585.0000 16522.4095  0.38%  59.1  845s
 99749  5967 16568.4163   48   61 16585.0000 16523.3989  0.37%  59.1  850s
 100416  5830 16562.4405   53   50 16585.0000 16524.1285  0.37%  59.1  855s
 101119  5705 16556.4803   48   67 16585.0000 16524.9021  0.36%  59.1  860s
 101833  5570 16563.1599   48   67 16585.0000 16525.7344  0.36%  59.1  865s
 102544  5403     cutoff   42      16585.0000 16526.7356  0.35%  59.0  870s
 103195  5249     cutoff   49      16585.0000 16527.8156  0.34%  59.0  875s
 103960  5102 16551.4613   42   73 16585.0000 16528.7572  0.34%  59.0  880s
 104605  4938 16546.3129   47   60 16585.0000 16529.8176  0.33%  59.0  885s
 105363  4723     cutoff   46      16585.0000 16531.1297  0.32%  59.0  890s
 106078  4528 16572.5326   47   68 16585.0000 16532.4154  0.32%  59.0  895s
 106811  4327 16557.7280   46   67 16585.0000 16533.6530  0.31%  58.9  900s
 107531  4146 16560.6882   46   55 16585.0000 16534.9055  0.30%  58.9  905s
 108270  3927 16555.8738   52   47 16585.0000 16536.3534  0.29%  58.9  910s
 109016  3686 16548.5516   51   52 16585.0000 16538.0251  0.28%  58.9  915s
 109795  3448 16566.5128   52   44 16585.0000 16539.5480  0.27%  58.8  920s
 110544  3162     cutoff   45      16585.0000 16541.4944  0.26%  58.8  925s
 111267  2904     cutoff   44      16585.0000 16543.1185  0.25%  58.7  930s
 112094  2563     cutoff   47      16585.0000 16545.6388  0.24%  58.7  935s
 112929  2189 16582.9726   49   45 16585.0000 16548.8618  0.22%  58.6  940s
 113826  1733 16584.6443   50   37 16585.0000 16553.1952  0.19%  58.5  945s
 114823  1153 16569.4689   53   50 16585.0000 16560.5072  0.15%  58.3  950s
 116001   280     cutoff   51      16585.0000 16576.7958  0.05%  58.0  955s

Cutting planes:
  Gomory: 3
  Lift-and-project: 170
  Cover: 1
  Implied bound: 21
  Projected implied bound: 64
  MIR: 946
  Flow cover: 159
  Relax-and-lift: 6

Explored 116294 nodes (6730953 simplex iterations) in 955.74 seconds (1009.69 work units)
Thread count was 1 (of 4 available processors)

Solution count 10: 16585 16585 16601.5 ... 16833.5

Optimal solution found (tolerance 1.00e-06)
Best objective 1.658500000000e+04, best bound 1.658500000000e+04, gap 0.0000%
Obj: 16585
Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
