Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xab228c3b
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [5e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.02s
Presolved: 4317 rows, 4266 columns, 16720 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 52000.000000

Root relaxation: objective 1.657450e+04, 2877 iterations, 0.13 seconds (0.15 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 32743 12484 20342.7408   58   62 20362.0000 19757.3573  2.97%   104  640s
 32993 12585 20342.3652   59   58 20362.0000 19758.3618  2.96%   105  645s
 33276 12728 20003.0218   55   67 20362.0000 19759.0424  2.96%   105  650s
 33550 12857 19799.6150   56   57 20362.0000 19760.2431  2.96%   105  655s
 33816 13014 20109.1870   57   67 20362.0000 19761.3358  2.95%   105  660s
 34107 13161 20110.6482   55   64 20362.0000 19762.4493  2.94%   105  665s
 34375 13314 19983.6697   56   66 20362.0000 19763.1267  2.94%   106  670s
 34605 13448 20188.3244   57   58 20362.0000 19763.8888  2.94%   106  675s
 34902 13588 20044.4033   53   67 20362.0000 19764.5467  2.93%   106  680s
 35142 13713 19814.6124   51   72 20362.0000 19765.5979  2.93%   106  685s
 35378 13824 20332.6723   59   68 20362.0000 19766.5567  2.92%   107  690s
 35692 13977 20361.9861   72   41 20362.0000 19767.1017  2.92%   107  695s
 36035 14148 20116.5461   61   53 20362.0000 19768.5681  2.91%   107  700s
 36268 14267 20301.1506   57   59 20362.0000 19769.4904  2.91%   107  705s
 36536 14404 20016.0985   56   67 20362.0000 19770.0195  2.91%   107  710s
 36782 14540 19795.8319   50   69 20362.0000 19771.4654  2.90%   107  715s
 37083 14680 20140.4814   63   48 20362.0000 19772.2020  2.90%   107  720s
 37370 14844 20126.3485   58   65 20362.0000 19773.2696  2.89%   107  725s
 37641 14991 20286.6720   63   37 20362.0000 19773.8584  2.89%   108  730s
 37938 15142 20011.5416   52   75 20362.0000 19774.4893  2.89%   108  735s
 38168 15256 20172.6850   54   68 20362.0000 19775.1752  2.88%   108  740s
 38432 15383 19881.3693   49   76 20362.0000 19775.6972  2.88%   108  745s
 38698 15502 20072.2240   61   52 20362.0000 19776.2813  2.88%   108  750s
 38970 15650 20071.1441   55   67 20362.0000 19777.1957  2.87%   108  755s
 39203 15783 20140.1862   57   61 20362.0000 19777.7400  2.87%   108  760s
 39537 15944 19937.4806   60   61 20362.0000 19778.1738  2.87%   109  765s
 39829 16045 20335.6453   63   49 20362.0000 19778.7441  2.86%   109  770s
 40129 16182 19944.5714   54   70 20362.0000 19779.5172  2.86%   109  775s
 40470 16354 19949.4256   61   55 20362.0000 19780.1543  2.86%   109  780s
 40768 16484 20357.0432   66   48 20362.0000 19780.6767  2.85%   109  785s
 41082 16623 19784.8972   55   60 20362.0000 19781.4771  2.85%   109  790s
 41311 16719 20082.5337   60   57 20362.0000 19781.9831  2.85%   109  795s
 41640 16882 20068.3825   62   58 20362.0000 19782.7539  2.84%   109  800s
 41932 17027 20224.5925   64   47 20362.0000 19783.2846  2.84%   109  805s
 42189 17165 20262.5383   65   49 20362.0000 19783.7188  2.84%   109  810s
 42457 17282 19897.0429   56   71 20362.0000 19784.0327  2.84%   109  815s
 42729 17400 20325.4685   62   50 20362.0000 19784.4046  2.84%   110  820s
 43027 17546 19940.7458   53   68 20362.0000 19784.8846  2.83%   110  825s
 43312 17687 20350.0464   56   67 20362.0000 19785.7022  2.83%   110  830s
 43629 17829 20354.8478   76   19 20362.0000 19786.3362  2.83%   110  835s
 43923 17971 19811.9112   53   65 20362.0000 19787.0909  2.82%   110  840s
 44220 18115 20235.0800   65   49 20362.0000 19787.6914  2.82%   110  845s
 44520 18256 20052.5574   58   64 20362.0000 19788.3213  2.82%   110  850s
 44825 18378 20238.0248   62   52 20362.0000 19789.0262  2.81%   110  855s
 45069 18494 20156.9025   57   57 20362.0000 19789.7362  2.81%   110  860s
 45302 18606 20324.9693   59   57 20362.0000 19790.0410  2.81%   110  865s
 45576 18736 20016.5931   61   57 20362.0000 19790.5576  2.81%   110  870s
 45825 18840 20317.8656   59   65 20362.0000 19791.5901  2.80%   111  875s
 46087 18985 20076.2349   56   51 20362.0000 19791.9937  2.80%   111  880s
 46373 19122 20227.7870   57   64 20362.0000 19792.7825  2.80%   111  885s
 46663 19265 20298.7886   57   62 20362.0000 19793.2963  2.79%   111  890s
 46962 19417 19871.7676   56   69 20362.0000 19793.9178  2.79%   111  895s
 47215 19534 20052.7000   58   53 20362.0000 19794.3332  2.79%   111  900s
 47530 19678 20319.0180   63   54 20362.0000 19795.0434  2.78%   111  905s
 47809 19825 20179.1414   63   54 20362.0000 19795.6826  2.78%   111  910s
 48086 19954 20257.4944   59   49 20362.0000 19796.2451  2.78%   111  915s
 48376 20102 20121.4654   57   55 20362.0000 19796.4706  2.78%   111  920s
 48668 20258 20221.9274   60   54 20362.0000 19796.8939  2.78%   111  925s
 48925 20389 20325.8207   65   48 20362.0000 19797.3235  2.77%   112  930s
 49171 20494 20291.3912   63   59 20362.0000 19797.7448  2.77%   112  935s
 49423 20587 20000.0632   57   64 20362.0000 19798.3318  2.77%   112  940s
 49717 20746 20338.7967   65   55 20362.0000 19798.9561  2.77%   112  945s
 49989 20868 20047.9651   55   55 20362.0000 19799.4000  2.76%   112  950s
 50265 21005 20355.2874   67   49 20362.0000 19799.7623  2.76%   112  955s
 50554 21152 19826.9911   55   68 20362.0000 19800.2179  2.76%   112  960s
 50791 21274 20023.6850   55   73 20362.0000 19800.8398  2.76%   112  965s
 51066 21383 20079.2517   52   68 20362.0000 19801.5031  2.75%   112  970s
 51251 21475 20160.6025   50   74 20362.0000 19801.7841  2.75%   113  975s
 51527 21579 20100.3895   57   57 20362.0000 19802.2876  2.75%   113  980s
 51822 21717 20061.9755   61   58 20362.0000 19802.9845  2.75%   113  985s
 52108 21844 20002.2410   53   69 20362.0000 19803.3081  2.74%   113  991s
 52289 21950 20318.1343   66   39 20362.0000 19803.5438  2.74%   113  995s
 52587 22102 20011.6211   54   69 20362.0000 19804.1242  2.74%   113 1000s
 52844 22234 20310.4689   70   39 20362.0000 19804.4967  2.74%   113 1005s
 53146 22364 20131.2668   62   42 20362.0000 19804.9578  2.74%   113 1010s
 53412 22477 19949.5484   53   67 20362.0000 19805.3501  2.73%   113 1015s
 53696 22605 19982.2869   54   70 20362.0000 19805.6334  2.73%   113 1020s
 53987 22748 20252.1948   50   80 20362.0000 19806.1551  2.73%   113 1025s
 54273 22865 20100.2043   60   45 20362.0000 19806.8802  2.73%   113 1030s
 54577 23014 20106.3026   56   65 20362.0000 19807.2599  2.72%   113 1035s
 54837 23131 19957.5012   56   66 20362.0000 19807.7632  2.72%   113 1040s
 55072 23260 20053.1036   59   56 20362.0000 19808.0643  2.72%   113 1045s
 55412 23432 20097.6459   57   66 20362.0000 19808.4039  2.72%   113 1050s
 55704 23563 20292.7231   60   51 20362.0000 19809.0406  2.72%   113 1055s
 55986 23705 20245.5634   60   56 20362.0000 19809.5971  2.71%   113 1060s
 56174 23787 19978.6728   56   65 20362.0000 19809.7921  2.71%   113 1065s
 56471 23926 20317.9721   65   46 20362.0000 19810.4854  2.71%   113 1070s
 56698 24047 20270.8314   57   53 20362.0000 19811.0108  2.71%   114 1075s
 57013 24166 20226.7312   62   48 20362.0000 19811.4931  2.70%   114 1080s
 57298 24290 20320.6932   67   38 20362.0000 19812.2058  2.70%   114 1085s
 57593 24408 20292.9045   61   60 20362.0000 19812.6605  2.70%   114 1090s
 57907 24560 19910.1586   54   63 20362.0000 19812.9769  2.70%   114 1095s
 58164 24696 20148.2816   54   68 20362.0000 19813.3615  2.69%   114 1100s
 58477 24817 20053.4211   57   73 20362.0000 19813.7267  2.69%   114 1105s
 58780 24962 20038.2715   54   68 20362.0000 19814.1808  2.69%   114 1110s
 59053 25101 20111.2071   60   60 20362.0000 19814.6018  2.69%   114 1115s
 59337 25224 19928.6090   53   70 20362.0000 19814.8617  2.69%   114 1120s
 59592 25323 20309.0681   62   57 20362.0000 19815.1349  2.69%   114 1125s
 59858 25461 20313.8205   66   42 20362.0000 19815.5616  2.68%   114 1130s
 60161 25608 20161.8070   56   63 20362.0000 19816.1510  2.68%   114 1135s
 60405 25711 19845.9061   58   57 20362.0000 19816.5219  2.68%   114 1140s
 60703 25865 20040.9717   60   55 20362.0000 19817.2059  2.68%   114 1145s
 60943 25978 20312.0645   65   46 20362.0000 19817.5447  2.67%   114 1150s
 61257 26119 19997.8011   52   67 20362.0000 19818.0430  2.67%   114 1155s
 61515 26249 20098.6459   56   65 20362.0000 19818.4143  2.67%   115 1160s
 61861 26425 19837.5937   54   71 20362.0000 19818.8997  2.67%   115 1165s
 62168 26556 20359.1333   74   24 20362.0000 19819.3679  2.66%   115 1170s
 62367 26631 20233.4166   61   64 20362.0000 19819.5806  2.66%   115 1175s
 62631 26753 20210.2823   69   41 20362.0000 19820.1930  2.66%   115 1180s
 62931 26875 20249.2001   56   63 20362.0000 19820.8816  2.66%   115 1185s
 63252 27015 20348.6924   62   49 20362.0000 19821.2049  2.66%   114 1190s
 63520 27138 20357.5307   69   38 20362.0000 19821.5773  2.65%   115 1195s
 63783 27264 20265.5072   57   62 20362.0000 19821.9529  2.65%   115 1200s
 64076 27395 20077.5356   57   54 20362.0000 19822.5357  2.65%   115 1205s
